DATE,JTSJOL,LNS17400000
2001-03-01,4762,1782
2001-04-01,4615,1827
2001-05-01,4425,1810
2001-06-01,4361,1877
2001-07-01,4447,1833
2001-08-01,4024,1946
2001-09-01,4071,1823
2001-10-01,3707,2025
2001-11-01,3775,2109
2001-12-01,3677,1986
2002-01-01,3699,2130
2002-02-01,3436,1950
2002-03-01,3612,1884
2002-04-01,3471,2008
2002-05-01,3457,1797
2002-06-01,3412,1989
2002-07-01,3367,1935
2002-08-01,3517,1934
2002-09-01,3301,1878
2002-10-01,3479,2004
2002-11-01,3514,2050
2002-12-01,3169,1911
2003-01-01,3441,2008
2003-02-01,3229,1886
2003-03-01,3099,1959
2003-04-01,3108,1978
2003-05-01,3289,2000
2003-06-01,3390,1949
2003-07-01,2981,1882
2003-08-01,3190,2041
2003-09-01,3091,1931
2003-10-01,3305,1733
2003-11-01,3324,1832
2003-12-01,3414,1922
2004-01-01,3424,1729
2004-02-01,3532,1806
2004-03-01,3525,1857
2004-04-01,3511,1787
2004-05-01,3710,1851
2004-06-01,3337,1777
2004-07-01,3814,1823
2004-08-01,3541,1858
2004-09-01,3821,1907
2004-10-01,3943,1890
2004-11-01,3472,1801
2004-12-01,4074,1848
2005-01-01,3804,1814
2005-02-01,3965,1853
2005-03-01,4044,1730
2005-04-01,4159,1692
2005-05-01,3797,1738
2005-06-01,4062,1822
2005-07-01,4256,1783
2005-08-01,4142,1769
2005-09-01,4352,1853
2005-10-01,4184,1736
2005-11-01,4248,1685
2005-12-01,4282,1732
2006-01-01,4397,1595
2006-02-01,4325,1692
2006-03-01,4732,1728
2006-04-01,4790,1882
2006-05-01,4463,1754
2006-06-01,4614,1752
2006-07-01,4394,1900
2006-08-01,4710,1725
2006-09-01,4737,1761
2006-10-01,4591,1749
2006-11-01,4645,1814
2006-12-01,4620,1820
2007-01-01,4763,1917
2007-02-01,4699,1833
2007-03-01,4962,1701
2007-04-01,4689,1763
2007-05-01,4657,1712
2007-06-01,4859,1774
2007-07-01,4598,1843
2007-08-01,4546,1714
2007-09-01,4652,1795
2007-10-01,4636,1818
2007-11-01,4646,1725
2007-12-01,4545,1866
2008-01-01,4624,1780
2008-02-01,4279,1817
2008-03-01,4225,2005
2008-04-01,4035,1915
2008-05-01,4194,2054
2008-06-01,3830,1996
2008-07-01,3749,1967
2008-08-01,3674,2288
2008-09-01,3222,2140
2008-10-01,3377,2259
2008-11-01,3231,2506
2008-12-01,3146,2519
2009-01-01,2738,2755
2009-02-01,2864,2834
2009-03-01,2534,2647
2009-04-01,2295,2484
2009-05-01,2549,2649
2009-06-01,2503,2550
2009-07-01,2232,2463
2009-08-01,2338,2560
2009-09-01,2487,2621
2009-10-01,2406,2516
2009-11-01,2503,2294
2009-12-01,2568,2373
2010-01-01,2837,2228
2010-02-01,2666,2341
2010-03-01,2679,2310
2010-04-01,3153,2274
2010-05-01,2988,2349
2010-06-01,2801,2164
2010-07-01,3082,2296
2010-08-01,2999,2396
2010-09-01,2918,2231
2010-10-01,3235,2232
2010-11-01,3211,2601
2010-12-01,3058,2206
2011-01-01,3104,2152
2011-02-01,3226,2043
2011-03-01,3261,2132
2011-04-01,3259,2268
2011-05-01,3179,2212
2011-06-01,3455,2135
2011-07-01,3623,2105
2011-08-01,3329,2016
2011-09-01,3774,2408
2011-10-01,3619,2123
2011-11-01,3565,2139
2011-12-01,3768,2093
2012-01-01,3909,1956
2012-02-01,3616,1989
2012-03-01,3979,2104
2012-04-01,3793,1994
2012-05-01,3835,1950
2012-06-01,3911,2024
2012-07-01,3735,2116
2012-08-01,3809,2059
2012-09-01,3882,1943
2012-10-01,3775,1972
2012-11-01,3878,1959
2012-12-01,3970,2204
2013-01-01,3923,2144
2013-02-01,4004,1824
2013-03-01,4076,1917
2013-04-01,3988,2013
2013-05-01,4145,1930
2013-06-01,4150,2092
2013-07-01,3885,1900
2013-08-01,4085,1947
2013-09-01,4128,1910
2013-10-01,4222,2198
2013-11-01,4119,1550
2013-12-01,4121,1767
2014-01-01,4127,2016
2014-02-01,4373,1994
2014-03-01,4388,1903
2014-04-01,4566,1797
2014-05-01,4747,1937
2014-06-01,4982,1834
2014-07-01,4846,1886
2014-08-01,5349,1991
2014-09-01,4914,1697
2014-10-01,5012,1723
2014-11-01,4843,1948
2014-12-01,5130,1752
2015-01-01,5344,1791
2015-02-01,5466,1837
2015-03-01,5210,1794
2015-04-01,5598,1830
2015-05-01,5563,1847
2015-06-01,5248,1697
2015-07-01,6056,1663
2015-08-01,5467,1672
2015-09-01,5488,1783
2015-10-01,5773,1678
2015-11-01,5708,1731
2015-12-01,5845,1786
2016-01-01,6012,1585
2016-02-01,5770,1592
2016-03-01,6129,1789
2016-04-01,5803,1782
2016-05-01,5777,1769
2016-06-01,5742,1785
2016-07-01,5962,1661
2016-08-01,5677,1711
2016-09-01,5868,1732
2016-10-01,5591,1721
2016-11-01,5971,1795
2016-12-01,5964,1716
2017-01-01,5646,1643
2017-02-01,5931,1734
2017-03-01,5813,1589
2017-04-01,6103,1696
2017-05-01,5810,1645
2017-06-01,6334,1705
2017-07-01,6203,1635
2017-08-01,6300,1730
2017-09-01,6279,1617
2017-10-01,6380,1614
2017-11-01,6282,1623
2017-12-01,6359,1605
2018-01-01,6601,1469
2018-02-01,6586,1535
2018-03-01,6833,1700
2018-04-01,6910,1640
2018-05-01,6987,1424
2018-06-01,7271,1470
2018-07-01,7209,1541
2018-08-01,7204,1615
2018-09-01,7352,1492
2018-10-01,7295,1522
2018-11-01,7574,1524
2018-12-01,7436,1528
2019-01-01,7478,1447
2019-02-01,7058,1455
2019-03-01,7332,1525
2019-04-01,7257,1346
2019-05-01,7279,1424
2019-06-01,7165,1553
2019-07-01,7137,1400
2019-08-01,7150,1366
2019-09-01,7100,1329
2019-10-01,7340,1526
2019-11-01,6915,1328
2019-12-01,6730,1497
2020-01-01,7154,1593
2020-02-01,7012,1526
2020-03-01,5769,2747
2020-04-01,4630,17467
2020-05-01,5447,4912
2020-06-01,6112,3769
2020-07-01,6717,3353
2020-08-01,6451,1912
2020-09-01,6611,2463
2020-10-01,6873,2025
2020-11-01,6766,2041
2020-12-01,6752,2266
2021-01-01,7099,1991
2021-02-01,7526,1943
2021-03-01,8123,1804
