DATE,LNS17100000,UNEMPLOY,FindingRate
2019/02/01,1772,6128,
2019/03/01,1726,6201,0.281657963
2019/04/01,1620,5995,0.261248186
2019/05/01,1573,5965,0.262385321
2019/06/01,1701,5914,0.285163453
2019/07/01,1699,5969,0.28728441
2019/08/01,1641,6000,0.274920422
2019/09/01,1655,5728,0.275833333
2019/10/01,1472,5922,0.25698324
2019/11/01,1534,5907,0.25903411
2019/12/01,1785,5844,0.30218385
2020/01/01,1824,5796,0.31211499
2020/02/01,1679,5717,0.28968254
2020/03/01,1394,7185,0.243834179
2020/04/01,1254,23109,0.174530271
2020/05/01,7814,20975,0.338136657
2020/06/01,7675,17697,0.3659118
2020/07/01,5035,16308,0.284511499
2020/08/01,4670,13542,0.286362521
2020/09/01,3291,12535,0.24302171
2020/10/01,3446,11049,0.274910251
2020/11/01,2623,10728,0.23739705
2020/12/01,2431,10736,0.226603281
2021/01/01,2596,10130,0.241803279
2021/02/01,2494,9972,0.246199408
2021/03/01,2257,9710,0.226333734
