DATE,EmployedToUnemployed,Employment,SeparationRate
2019/02/01,1455,156904,
2019/03/01,1525,156809,0.009719319
2019/04/01,1346,156741,0.008583691
2019/05/01,1424,156883,0.009085051
2019/06/01,1553,157131,0.009899097
2019/07/01,1400,157617,0.008909763
2019/08/01,1366,157861,0.008666578
2019/09/01,1329,158230,0.008418799
2019/10/01,1526,158356,0.009644189
2019/11/01,1328,158540,0.008386168
2019/12/01,1497,158735,0.009442412
2020/01/01,1593,158659,0.010035594
2020/02/01,1526,158732,0.009618112
2020/03/01,2747,155536,0.017305899
2020/04/01,17467,133370,0.112301975
2020/05/01,4912,137224,0.036829872
2020/06/01,3769,142100,0.027466041
2020/07/01,3353,143777,0.023596059
2020/08/01,1912,147276,0.013298372
2020/09/01,2463,147543,0.016723702
2020/10/01,2025,149669,0.013724812
2020/11/01,2041,149809,0.013636758
2020/12/01,2266,149830,0.015125927
2021/01/01,1991,150031,0.013288394
2021/02/01,1943,150239,0.012950657
2021/03/01,1804,150848,0.012007535
